,SMILES,STABILITY_SCORE,CHEMBL_ID
1912,C[C@@H]1CN(CCN1S(=O)(=O)c1ccc(s1)[C@@](O)(C(N)=O)C(F)(F)F)c1ccc(F)cc1C(F)(F)F,0.5,CHEMBL2323021
1924,CN1C(=O)C(F)=C(Nc2ccc(I)cc2F)C2=C1N=CN(OC[C@H](O)CO)C2=O,0.5,CHEMBL1684075
1931,Cc1cnc2c(cccc2c1-c1cccc(Oc2cc(F)cc(c2)S(C)(=O)=O)c1)C(F)(F)F,0.5,CHEMBL594175
1934,CCN1C=C\C(=N/c2ccc(Oc3ccc(Cl)cc3)cc2)c2ccc(Cl)cc12,3.9,CHEMBL2381926
1946,C[C@H]1CCNCCc2c(C)c3c(CC(C)(C)CC3=O)n2-c2ccc(C(N)=O)c(N1)c2,0.2,CHEMBL1760603
1961,CC(C)(C)C[C@@H]1N[C@H]([C@H](c2cccc(Cl)c2F)[C@]11C(=O)Nc2cc(Cl)ccc12)C(=O)N[C@H]1CC[C@H](O)C1,0.4,CHEMBL2398476
1981,Clc1ccc(cc1)[C@H]1OC2(CCCCC2)OO[C@@H]1C(=C)c1ccc(Cl)cc1,0.4,CHEMBL2322005
1985,CCNC(=O)CN1C(=O)C(C)(Oc2ccc(cc12)-c1c(N)nc(N)nc1CC)c1cc(F)cc(F)c1,1.0,CHEMBL398811
2007,C[C@H](N1CC[C@@](CCO)(OC1=O)c1ccc(F)cc1)c1ccc(cc1)-c1ccc(F)cc1,1.0,CHEMBL1829768
2011,O=C(CN1CCNCC1)NC1CCCCC1,1.0,CHEMBL1983100
2016,CC1CNCCc2c(C)c3c(CC(C)(C)CC3=O)n2-c2ccc(C(N)=O)c(NC1)c2,0.1,CHEMBL1760605
2090,CCN1c2ccc(cc2N(c2ccccc2)C(=O)C(c2cc(-c3cnn(C)c3)c(O)cc2O)C1=O)C(F)(F)F,0.2,CHEMBL2385151
2108,COc1cccc(CNc2ccc(cc2)S(=O)(=O)Nc2nc(cs2)-c2ccccc2)c1O,0.1,CHEMBL3113193
2131,C[C@H](N1CC[C@@](CCCO)(OC1=O)c1ccccc1)c1ccc(cc1)-c1ccc(F)cc1,0.5,CHEMBL1829761
2138,C[C@H](N1CC[C@@](CCCO)(OC1=O)c1ccccc1)c1ccc(cc1)-c1ccc(F)cc1F,0.3,CHEMBL1829759
2141,CN1C(=O)C(C)=C(Nc2ccc(I)cc2F)C2=C1N=CN(C[C@H](O)CO)C2=O,3.3,CHEMBL1684071
2174,CN(C)CCNCCn1ccc2c(nc(nc12)-c1ccc(NC(=O)Nc2ccncc2)cc1)N1CCOCC1,0.1,CHEMBL1090574
2202,CC(C)(C)C[C@H]1N[C@H]([C@H](c2cccc(Cl)c2)[C@@]11C(=O)Nc2cc(Cl)c(F)cc12)C(=O)NCC[C@H](O)CO,0.3,CHEMBL572933
2241,CC(=O)n1cc(Nc2ccc(I)cc2F)c(c1)C(O)=O,0.3,CHEMBL1169746
2264,O=C(NCCC(c1ccccc1)c1ccccc1)c1ccncc1,0.1,CHEMBL571898
2293,NCC1CCN(CC1)c1nccc(n1)-c1ccc2ccccc2c1,0.5,CHEMBL570667
2295,COc1ccccc1-c1ccc2cnc(Nc3ccc(cc3)S(=O)(=O)N(C)C)nn12,0.1,CHEMBL1923572
2306,Cc1c2CCCN3CCNC[C@H]3CNc3cc(ccc3C(N)=O)-n2c2CC(C)(C)CC(=O)c12,0.5,CHEMBL1779534
2339,CC(C)(C)C[C@@H]1N[C@H]([C@H](c2cccc(Cl)c2F)[C@]11C(=O)Nc2cc(Cl)ccc12)C(=O)N[C@H]1C[C@@](C)(O)C1,1.0,CHEMBL2396674
2392,CC(C)n1nnc2c(nc(nc12)-c1ccc(NC(=O)Nc2ccc(cc2)N(C)C)cc1)N1CCOCC1,0.1,CHEMBL590578
2401,CO[C@]1(C[C@H](N(C1)C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)N[C@@]1(C[C@H]1C=C)C(=O)NS(=O)(=O)C1CC1)c1ccc(cc1)-c1cscn1,3.7,CHEMBL2403630
2415,COCCCn1c(NC(=O)c2ccno2)nc2cc(CNc3ccccc3)ccc12,0.1,CHEMBL528989
2435,ONC(=O)CCCCCCC(=O)Nc1ccccc1,1.9,CHEMBL98
2436,CN1CCN(CC1)C(=O)c1ccc(NC(=O)Nc2ccc(cc2)-c2nc(N3CCOCC3)c3ccn(CC(F)(F)F)c3n2)cc1,0.5,CHEMBL1092074
2452,CC(C)Oc1nc(nc(n1)-c1ccc(NC(=O)Nc2ccc(cc2)C(=O)NCCN(C)C)cc1)N1CCOCC1,0.5,CHEMBL1808987
2457,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(Cc2cc(Cl)ccc2Cl)C1=O,0.2,CHEMBL1650444
